1stFlrSF,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
2515,484,1975.0,2515,TA,6,2035,1957,1975,200624
958,240,1941.0,1578,Fa,6,806,1941,1950,133000
979,352,1950.0,1203,Gd,5,709,1950,1950,110000
1156,505,1977.0,2022,TA,7,1160,1977,1977,192000
525,264,1971.0,1092,TA,6,525,1971,1971,88000
1022,280,1956.0,1022,TA,5,1022,1910,2006,85000
1464,754,2007.0,1464,Gd,8,1485,2007,2007,282922
780,544,1979.0,1375,Gd,6,780,1937,1950,141000
2411,813,1996.0,4476,Ex,10,2396,1996,1996,745000
551,480,2004.0,1102,Gd,7,551,2004,2004,148800
1352,466,2006.0,1352,Gd,7,1352,2006,2007,208900
1680,528,1976.0,1680,TA,5,1680,1976,1976,136905
1005,490,1999.0,1983,Gd,7,978,1999,1999,225000
900,288,1967.0,900,TA,5,864,1967,1967,123000
1082,240,1948.0,1082,TA,6,1082,1948,1950,119200
1314,294,1957.0,1314,TA,5,1314,1957,1957,145000
1061,564,1992.0,1923,Gd,7,750,1992,1992,190000
990,0,1980.0,990,TA,4,990,1994,1995,123600
1228,271,1966.0,1228,Gd,5,1228,1966,2006,149350
916,164,1915.0,1826,Ex,7,910,1915,2005,155000
910,720,2000.0,1385,TA,5,910,1952,1952,166000
848,420,2004.0,848,Gd,6,848,2004,2004,144500
816,516,1963.0,816,TA,5,816,1963,1963,110000
702,343,1994.0,1481,TA,6,702,1994,1995,174000
943,540,1974.0,1876,Gd,6,901,1974,1974,185000
916,424,1925.0,1742,Gd,8,916,1882,1986,168000
769,440,2000.0,1573,Gd,6,756,2000,2000,177500
630,0,1980.0,630,TA,4,630,1970,1970,84500
1698,768,2007.0,1698,Ex,9,1698,2007,2008,320000
832,336,1947.0,1216,TA,5,832,1947,1950,118500
1776,888,1968.0,1776,TA,5,1584,1958,1958,110000
1006,425,1993.0,1775,Gd,7,740,1993,1993,213000
912,470,1978.0,912,TA,6,888,1978,1978,156000
1145,836,2000.0,2198,Gd,8,1145,2000,2000,250000
2046,834,2008.0,2046,Gd,8,2046,2008,2008,372500
729,406,1996.0,1446,TA,7,729,1996,1997,175000
1561,556,2005.0,1561,Ex,9,1561,2005,2005,277500
882,461,1980.0,882,TA,5,882,1972,1972,112500
912,615,2003.0,2094,Gd,7,912,2003,2004,263000
