1stFlrSF,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1828,774,2007.0,1828,Gd,9,1822,2007,2007,314813
894,308,1962.0,894,TA,5,894,1962,1962,109500
964,432,1921.0,964,TA,5,876,1921,2006,163500
1689,857,2002.0,1689,Gd,8,1568,2002,2002,271000
1541,843,2001.0,1541,Gd,7,1541,2001,2002,205000
1221,400,2004.0,1221,Gd,7,1221,2004,2005,185000
1324,440,1965.0,1324,TA,6,1088,1965,1965,160000
696,484,1999.0,1416,Gd,7,696,1999,1999,155000
526,297,1973.0,988,TA,4,462,1973,1973,91000
869,440,2003.0,1218,TA,6,735,1941,1950,131000
760,397,2003.0,1656,Gd,7,746,2003,2004,165400
1362,460,2005.0,1362,Gd,6,1362,2005,2006,194700
1051,442,1966.0,1839,TA,6,756,1966,1966,155000
1375,451,1954.0,1375,TA,6,1367,1954,1954,140000
1122,528,1948.0,1122,Gd,5,924,1948,2005,147000
1432,588,1978.0,1432,Gd,5,1360,1978,1978,194000
728,400,2007.0,1456,Gd,7,728,2007,2007,179540
1217,497,1990.0,1217,Gd,7,1188,1990,1991,173000
1040,625,1950.0,1040,TA,5,0,1950,1950,109500
612,528,2009.0,1224,Gd,6,612,2009,2009,173733
1022,468,1931.0,1774,TA,7,952,1931,1950,129900
961,384,1978.0,1367,TA,5,861,1900,1950,119000
803,297,1951.0,1360,Gd,5,803,1938,1995,125500
848,420,2004.0,848,Gd,6,848,2004,2004,149300
1482,749,2003.0,2262,Gd,8,1482,2003,2003,305000
1220,396,1951.0,1220,TA,4,836,1951,1951,102000
1414,398,2004.0,1414,Gd,7,1375,2004,2004,178740
1134,396,1950.0,2058,TA,6,735,1917,1950,129500
1088,0,1980.0,1198,TA,6,901,1920,1998,79900
1659,499,2000.0,1659,Ex,8,1501,2000,2000,278000
1012,308,1920.0,1012,TA,6,1012,1920,1950,118400
1687,672,1970.0,3082,TA,7,824,1920,1970,197000
1032,672,1999.0,1812,Gd,5,360,1900,1996,140000
1057,650,2001.0,1929,Gd,7,1057,2001,2001,226000
954,576,1976.0,954,TA,5,911,1976,1976,132500
1838,765,2006.0,1838,Ex,9,1838,2006,2006,315000
