GrLivArea,OverallQual,TotalBsmtSF
1828,9,1822
894,5,894
964,5,876
1689,8,1568
1541,7,1541
1221,7,1221
1324,6,1088
1416,7,696
988,4,462
1218,6,735
1656,7,746
1362,6,1362
1839,6,756
1375,6,1367
1122,5,924
1432,5,1360
1456,7,728
1217,7,1188
1040,5,0
1224,6,612
1774,7,952
1367,5,861
1360,5,803
848,6,848
2262,8,1482
1220,4,836
1414,7,1375
2058,6,735
1198,6,901
1659,8,1501
1012,6,1012
3082,7,824
1812,5,360
1929,7,1057
954,5,911
1838,9,1838
1640,6,1296
1148,5,1148
950,5,950
1911,8,777
1635,6,1065
1316,7,1316
1442,6,1442
1078,5,1078
1120,4,1040
1419,8,408
1389,7,651
1063,5,1056
1792,9,1792
1216,6,1216
1762,7,596
1959,7,847
1208,6,1208
1524,5,874
1154,4,796
1048,5,0
886,5,190
943,5,943
1768,7,866
2599,9,1393
912,5,912
882,5,0
1337,6,1405
2076,10,2076
2531,8,1318
1768,5,731
1625,8,1573
2144,6,1444
2775,10,1237
1868,6,585
1525,7,1525
1571,8,1571
796,5,796
2372,5,994
1472,7,384
960,4,648
1838,5,732
1309,6,1040
2643,9,2153
1131,5,676
1960,5,960
1144,5,1144
1056,6,1056
693,4,693
1494,6,1479
1646,8,1594
864,5,864
1566,8,1566
1395,6,723
1208,4,780
1513,5,939
1367,6,884
955,5,955
1077,3,1007
1056,5,1056
1553,7,756
1614,7,1614
2042,8,2042
1073,5,1073
1285,5,672
2117,6,1205
605,4,528
1150,5,1150
1456,6,728
999,7,944
1500,6,750
1336,5,1165
1593,6,839
2184,9,1104
1560,7,1560
1644,5,728
630,4,630
1113,6,1143
2172,7,1063
1346,4,560
2610,8,1184
1958,7,1026
1468,8,1468
1734,5,0
1200,5,768
1550,7,1092
2230,4,795
1639,6,1064
864,5,864
1621,7,1208
987,6,483
2519,7,1210
1365,5,765
2290,8,1128
2596,9,1249
907,4,907
1456,6,855
1190,5,1106
858,4,858
2223,7,2223
1005,4,1005
1895,7,712
1040,5,1040
1264,5,1268
1761,7,874
1034,6,1012
1363,7,1385
1689,6,1436
2113,8,2109
1573,7,1573
2364,9,2330
2034,7,1057
1291,6,1291
858,5,858
1258,6,560
438,2,290
1400,6,672
954,5,920
1445,6,1127
1072,6,547
1664,5,0
2134,6,844
3194,8,965
1824,6,912
1756,6,872
